"ime", "drzava", "st_smeri", "razpon_ocen", "najlazja", "najtezja"
Sicilija - Fakiros Wall,Italija,4,6a do 6b,6a,6b
Sicilija - Far Side,Italija,3,6a do 6b+,6a,6b+
Sicilija - Grotta del Cavallo,Italija,4,6b do 7b/b+,6b,7b/b+
Sicilija - Grotta Perciata,Italija,14,5c do 7c,5c,7c
Sicilija - Grotta Pineta,Italija,1,7b,7b,7b
Sicilija - Macari,Italija,4,6b do 7a+,6b,7a+
Sicilija - Newer Sleeping Wall,Italija,6,6a+ do 7a+,6a+,7a+
Sicilija - Nuova Ossessione,Italija,6,6a do 6c+,6a,6c+
Sicilija - Pineta,Italija,2,6b do 6c,6b,6c
Sicilija - Pipeline,Italija,3,6b do 7a,6b,7a
Sicilija - Quota 280,Italija,1,5c+/6a,5c+/6a,5c+/6a
Sicilija - Rocca di Cerriolo,Italija,11,6a do 7a+,6a,7a+
Sicilija - San Vito Lo Capo,Italija,577,2 do 8b+,2,8b+
Sicilija - San Vito lo Capo (2),Italija,26,6b do 8a+,6b,8a+
Sicilija - Sperone Est,Italija,1,6a,6a,6a
Sistiana (Sesljan),Italija,47,3 do 7b+,3,7b+
Somplego,Italija,12,6a do 7b+,6a,7b+
Sperlonga,Italija,5,5c+ do 6a+,5c+,6a+
