"plezalisce","regija","drzava"
Krvavec,Kamniško-Savinjske Alpe,Slovenija
Kupljenik,Julijske Alpe,Slovenija
Lavorček,Kamniško-Savinjske Alpe,Slovenija
Lijak,None,Slovenija
Lipje,Štajerska,Slovenija
Logarska dolina,Kamniško-Savinjske Alpe,Slovenija
Luknja,Dolenjska,Slovenija
Lutne Skale,Primorska,Slovenija
Marof,Primorska,Slovenija
Matjaževe kamre,Gorenjska,Slovenija
Matvoz,Koroška,Slovenija
Mišja peč,Primorska,Slovenija
Mlinska Peč,Gorenjska,Slovenija
Močilnik,Notranjska,Slovenija
Nad Savo,Posavsko hribovje,Slovenija
Nadiža,Primorska,Slovenija
Nomenj,Gorenjska,Slovenija
Okrešelj,Kamniško-Savinjske Alpe,Slovenija
Osp,Primorska,Slovenija
Peč (pri Bohinju),Julijske Alpe,Slovenija
Pisano čelo,Primorska,Slovenija
Pod Golico,None,Slovenija
Pod Kopitcem,Primorska,Slovenija
Pod Reško planino,Posavsko hribovje,Slovenija
Pod Škalo,Posavsko hribovje,Slovenija
Pod Sušo,Gorenjska,Slovenija
Porezen,Primorska,Slovenija
Preddvor,Kamniško-Savinjske Alpe,Slovenija
Predloka,None,Slovenija
Prepihova dolina,Štajerska,Slovenija
Pri Čiginju,Primorska,Slovenija
Pri Pavru,Julijske Alpe,Slovenija
Pri Plajerju (Trenta),Julijske Alpe,Slovenija
Pri Skalarju - Zminec,Gorenjska,Slovenija
Pri Žvikarju,Primorska,Slovenija
Prtovč,None,Slovenija
Radlje,Štajerska,Slovenija
Radovna,Julijske Alpe,Slovenija
Rakitnica,Notranjska,Slovenija
Renke,Posavsko hribovje,Slovenija
Retovje,Notranjska,Slovenija
Risnik,Primorska,Slovenija
Rudnica,Julijske Alpe,Slovenija
Šavnica,Gorenjska,Slovenija
Šeginov potok,Štajerska,Slovenija
Sele,Koroška,Slovenija
Senica,Primorska,Slovenija
Škratova skala,Primorska,Slovenija
Slap ob Idrijci,Primorska,Slovenija
Slomnik,Posavsko hribovje,Slovenija
Šnitov rob,Primorska,Slovenija
Snovik,None,Slovenija
Socka,Štajerska,Slovenija
Šoder graben,Štajerska,Slovenija
Sopota,Posavsko hribovje,Slovenija
Štenge,Koroška,Slovenija
Strug,Primorska,Slovenija
Šumberk,None,Slovenija
Turnc,Gorenjska,Slovenija
Urbasova skala,Karavanke,Slovenija
Vipava,Primorska,Slovenija
Vipavska Bela,Primorska,Slovenija
Vranja peč,Kamniško-Savinjske Alpe,Slovenija
Vransko,Štajerska,Slovenija
Vršič,Julijske Alpe,Slovenija
Završnica,Karavanke,Slovenija
Zelenc pri Izlakah,Posavsko hribovje,Slovenija
Žvanov rob,Primorska,Slovenija
alaro,None,Španija
Arboli,None,Španija
Archidona,None,Španija
Bielsa,None,Španija
cala barques,None,Španija
Cala Marganer,None,Španija
Capçanes,None,Španija
Catalunya - Alos de Balaguer,None,Španija
Catalunya - Camarasa,None,Španija
Catalunya - Cubelles,None,Španija
Catalunya - La Pauta,None,Španija
Catalunya - Os de Balaguer,None,Španija
Catalunya - Sant Llorenç de Montgai,None,Španija
Catalunya - Santa Ana,None,Španija
Catalunya - Santa Linya,None,Španija
Catalunya - Tartareu,None,Španija
Chulilla,None,Španija
Collegats - La Pedrera,None,Španija
El Chorro,None,Španija
eremita de betlem,None,Španija
Foz de la canal,None,Španija
